input,response
I’m staying home today.,That sounds fun!
I woke up early this morning.,That sounds relaxing.
Do you like cold weather?,That must feel nice.
I finished my essay.,I know that feeling.
My teacher gave us homework.,Just relax a little.
My class was fun today.,I like that too.
I didn’t do my assignment.,That sounds delicious.
I tried sushi for the first time.,That’s a great idea.
I’m hungry.,That’s quite an experience.
I love painting.,You can always try again.
I’m not good at art.,That’s nice to hear!
Do you have dreams too?,That’s inspiring.
Do you love your parents?,I love that!
I love my family.,It’s okay to feel that way.
I’m bored right now.,Everything will be alright.
How are you today?,That’s beautiful.
I forgot my homework.,Stay positive.
I forgot my homework.,That’s a lovely thing.
My favorite food is pasta.,That’s really awesome!
Do you love your parents?,How lovely!
My sister helped me.,I know you can do it.
I’m nervous about my test.,That’s nice to hear!
I don’t feel good.,Stay confident.
I’m listening to music.,Keep practicing.
Do you like coffee?,Stay positive.
I want to learn basketball.,You must be tired.
I like studying at night.,That’s great progress!
I feel stressed with school.,That’s amazing!
I got good marks.,That’s so thoughtful.
I want to be a teacher.,You can do it!
I finished my essay.,"Haha, that’s funny!"
I’m bored right now.,That’s inspiring.
Do you like coffee?,That’s great progress!
I love painting.,Nice choice!
My team argued.,That’s great progress!
I’m learning English.,That’s really awesome!
My favorite singer is Taylor Swift.,"Haha, that’s funny!"
Do you like school?,Everything will be alright.
I played football with my friends.,Keep practicing.
I want to learn basketball.,You’re doing your best.
I'm feeling good today.,Really? Tell me more.
I feel lazy today.,I understand how you feel.
I feel shy speaking English.,That’s a nice dream.
Do you like school?,"Wow, impressive!"
I’ll try again tomorrow.,You’re amazing!
I want to get a good job.,You can always try again.
I don’t like summer.,That sounds delicious.
I finished my essay.,That’s really sweet.
I’m planning for my future.,That’s a nice dream.
What’s your plan for today?,That’s wonderful!
Do you like cold weather?,That’s so funny!
Did you sleep well?,It’s important to take breaks.
The weather is nice.,You’re amazing!
I woke up early this morning.,That’s really nice of you.
I want to learn basketball.,"That’s okay, it will be fine."
Do you want to chat?,Don’t lose hope.
I’m proud of myself.,That sounds fun!
How are you today?,I’m sure you’ll succeed.
I feel lazy today.,That’s really awesome!
"I'm fine, thanks for asking.",Don’t worry too much.
I want to be a teacher.,Really? Tell me more.
My favorite food is pasta.,Don’t lose hope.
I just want to relax.,That’s a lovely thing.
I’m hungry.,That’s a lovely thing.
I forgot my homework.,That’s so cool!
Are you busy?,That’s quite an experience.
I made tea for my mom.,Be kind to yourself.
I woke up early this morning.,"Haha, you made me smile."
My dad is watching TV.,That’s inspiring.
My class was fun today.,Don’t lose hope.
I don’t like summer.,You deserve a rest.
I’m proud of myself.,"Haha, that’s relatable!"
I played football with my friends.,That’s really inspiring.
I cooked breakfast.,That’s a great idea.
I just need a break.,That’s totally normal.
I made tea for my mom.,That’s a positive attitude.
I want ice cream.,That’s great news!
I don’t like loud music.,I get that feeling.
I like studying at night.,That’s so cool!
I didn’t do my assignment.,You deserve a rest.
I hate deadlines.,Keep practicing.
My teacher said I did well.,Everything will be alright.
I’m staying home today.,You’re doing your best.
I studied grammar today.,That’s quite an experience.
I’m nervous about my test.,That happens sometimes.
It’s raining today.,Stay confident.
I’m hungry.,It’s okay to feel that way.
I want to get a good job.,That must feel nice.
It’s been a long day.,I know that feeling.
It’s been a long day.,"Wow, impressive!"
My class was fun today.,That’s a positive attitude.
I want to learn basketball.,That’s a nice dream.
Do you like cold weather?,That’s so true.
Did you sleep well?,That’s so cool!
I feel stressed with school.,That’s so cool!
Do you like weekends?,Good luck with that!
My teacher gave us homework.,That’s perfect!
I’m practicing speaking English.,"Wow, impressive!"
Do you like coffee?,I know that feeling.
I went for a walk.,That’s so cool!
I’m listening to music.,That’s totally fine.
I’m planning for my future.,That’s sweet.
I believe I can do it.,That’s really cool!
Do you like noodles?,That sounds relaxing.
I feel lazy today.,That’s so true.
What are you doing now?,I know you can do it.
My friend made me laugh.,I believe in you.
I’m staying home today.,That’s a lovely thing.
I worked all night.,Keep practicing.
We finally finished it.,You can do it!
I’ll try again tomorrow.,It’s good to rest sometimes.
I feel stressed with school.,How lovely!
I’m hungry.,Try to take a short break.
I made some mistakes.,"Haha, you made me smile."
I believe I can do it.,That’s totally normal.
Do you play any instruments?,Good luck with that!
I love painting.,Good luck with that!
Did you sleep well?,I believe in you.
Do you like coffee?,Don’t lose hope.
Are you busy?,You’re learning a lot.
I want to be better at English.,That’s fine.
I’m proud of myself.,I’m sure you’ll do great.
I’m proud of myself.,I get that feeling.
I love rainy days.,You’re doing great!
The weather is nice.,That’s so thoughtful.
I love my family.,"Haha, you made me smile."
I’m staying home today.,You sound motivated.
We finally finished it.,Don’t lose hope.
I don’t know my future yet.,I love that!
I’m bored right now.,Don’t lose hope.
I love painting.,Sounds great!
I have an exam tomorrow.,You’re improving every day.
I got good marks.,I like that too.
How are you today?,That’s really nice of you.
I’m nervous about my test.,That’s wonderful!
Do you want to chat?,That’s really awesome!
I want to learn basketball.,"That’s tough, but you’ll manage."
I just want to relax.,That’s great news!
I’m proud of myself.,I’m sure you’ll do great.
I forgot my notes.,I love that mindset.
I forgot my homework.,How lovely!
My favorite food is pasta.,That sounds relaxing.
I’m staying home today.,That’s nice to hear!
"I'm fine, thanks for asking.",Be kind to yourself.
"I'm fine, thanks for asking.","Haha, you made me smile."
My mom cooked dinner.,Good for you!
I made some mistakes.,"That’s tough, but you’ll manage."
Do you like cold weather?,"Oh no, that sounds stressful."
The weather is nice.,That’s a great idea.
My dream is to travel abroad.,You can always try again.
I’m proud of myself.,Everything will be alright.
I just want to relax.,That’s a lovely thing.
I love my family.,That’s so nice to hear.
I studied grammar today.,Don’t be too hard on yourself.
I love pizza.,That’s nice to hear!
I feel sad today.,That sounds fun!
I watched a concert online.,That’s totally fine.
My friend made me laugh.,That’s cool!
I worked all night.,Sounds great!
I’m proud of myself.,Good luck with that!
I woke up early this morning.,It’s important to take breaks.
My favorite singer is Taylor Swift.,That’s so thoughtful.
Do you have dreams too?,That’s totally fine.
My project is due soon.,That’s such a nice feeling.
I talked to my teacher today.,That’s such a nice feeling.
I love pizza.,Nice choice!
I just need a break.,That happens sometimes.
My teacher said I did well.,That’s nice to hear!
It’s too hot today.,Keep practicing.
I don’t like summer.,That’s so cool!
I’m bored right now.,I hope you achieve your dreams.
I don’t like summer.,Keep working hard.
I’m bored right now.,You’re doing great!
Did you sleep well?,That’s totally fine.
I like studying at night.,Be kind to yourself.
The sun looks beautiful.,You can always try again.
It’s too hot today.,That’s quite an experience.
It’s too hot today.,That sounds fun!
I’ll try again tomorrow.,It’s okay to feel that way.
